ocr_id;text;upper_left_y;upper_left_x;upper_right_y;upper_right_x;lower_right_y;lower_right_x;lower_left_y;lower_left_x
10709;Наименование;314;81;314;233;329;233;329;81
10710;объекта:;314;242;314;329;329;329;329;242
10711;сельскохозяйственного;341;731;345;1083;376;1083;372;731
10712;центра;344;1085;345;1202;376;1202;375;1085
10713;Борсков;383;517;383;645;416;645;416;517
10714;Цикорий;385;969;385;1092;416;1092;416;969
10715;Силанов;386;737;386;870;410;870;410;737
10716;М..,;386;883;386;953;415;953;415;883
10717;3.Ш.,;386;1106;386;1179;414;1179;414;1106
10718;А.В.,;387;656;387;723;415;723;415;656
10719;Железмер;387;1192;387;1351;416;1351;416;1192
10720;Т.Б.;387;1362;387;1435;419;1435;419;1362
10721;Авторы;401;79;402;155;421;155;420;79
10722;проекта:;403;165;404;249;422;249;421;165
10723;"""АСЦ";438;834;439;961;476;961;475;834
10724;ГУП;442;750;441;808;466;809;467;751
10725;"Моспроект""";442;972;443;1147;473;1147;472;972
10726;Генеральная;450;81;452;212;472;212;470;81
10727;проектная;453;222;454;324;471;324;470;222
10728;организация:;479;80;479;212;496;212;496;80
10729;ЗАО;503;586;503;657;529;657;529;586
10730;досуговый;504;940;504;1096;535;1096;535;940
10731;"""Калужский";506;719;506;889;541;889;541;719
10732;"центр""";508;1173;506;1270;535;1271;537;1174
10733;Застройщик:;509;81;507;207;529;207;531;81
10734;рабочей;572;268;572;351;592;351;592;268
10735;Рассмотрение;573;81;573;227;592;227;592;81
10736;на;576;237;576;258;588;258;588;237
10737;комиссии;576;362;576;455;588;455;588;362
10738;Ларисков;607;854;605;997;636;997;638;854
10739;В.Г.;607;1012;606;1063;631;1063;632;1012
10740;Референт:;619;81;620;187;640;187;639;81
10741;Докладчик:;669;79;669;191;688;191;688;79
10742;Выступили:;729;80;730;195;749;195;748;80
10743;ПОСТАНОВИЛИ:;799;80;799;255;815;255;815;80
10744;11.Одобрить;838;75;838;259;872;259;872;75
10745;архитектурно-градостроительное;838;549;838;1059;872;1059;872;549
10746;решение.;838;1062;838;1217;872;1217;872;1062
10747;представленное;844;273;844;525;868;525;868;273
10748;Кутемин;905;1252;901;1373;941;1374;945;1253
10749;А.В.;906;1382;904;1446;929;1447;931;1383
10750;Председатель;916;80;917;222;939;222;938;80
10751;архитектурного;920;232;921;398;940;398;939;232
10752;совета:;951;79;950;150;962;150;963;79
10753;Ученый;987;80;990;161;1010;160;1007;79
10754;секретарь;990;171;994;273;1014;272;1010;170
10755;архитектурного;1023;79;1023;245;1037;245;1037;79
10756;совета:;1023;254;1023;326;1035;326;1035;254
10757;ИЗ;1094;659;1094;689;1117;689;1117;659
10758;"""ВЫПИСКА";1095;463;1094;657;1117;657;1118;463
10759;"ВЕРНА""";1095;878;1094;984;1113;984;1114;878
10760;ПРОТОКОЛА;1096;688;1095;867;1115;867;1116;688
10761;СП.;1157;1374;1152;1446;1181;1448;1186;1376
10762;BO;1160;1171;1165;1199;1179;1196;1175;1169
10763;Начальник;1166;80;1166;191;1182;191;1182;80
10764;Управления;1166;201;1166;326;1188;326;1188;201
10765;Архитектурного;1166;336;1167;509;1188;509;1187;336
10766;советахрнстР;1166;513;1167;651;1190;651;1189;513
10767;КудрЯшов;1169;1201;1158;1359;1187;1361;1198;1203
10768;И.;1225;1430;1223;1455;1248;1457;1250;1432
10769;А.;1226;1391;1224;1419;1248;1420;1250;1393
10770;Судепов;1231;1257;1223;1383;1259;1385;1267;1259
10771;Начальник;1238;79;1239;191;1256;191;1255;79
10772;Управления;1238;201;1239;326;1260;326;1259;201
10773;подготовки;1241;336;1242;456;1257;456;1256;336
10774;согласования;1271;78;1273;217;1286;217;1284;78
10775;проектов:;1271;228;1272;328;1289;328;1288;228
10776;А.В.;1302;1422;1299;1485;1324;1486;1327;1423
10777;Борсков;1306;1284;1301;1409;1334;1410;1339;1285
10778;Руководитель;1310;78;1312;223;1335;223;1333;78
10779;авторов;1314;232;1315;314;1331;314;1330;232
10780;проекта:;1314;323;1315;410;1332;410;1331;323
10781;итут;1395;703;1420;658;1408;652;1384;697
